Date ,hospitalization_Fraser,hospitalization_Interior,hospitalization_Vancouver Island,hospitalization_Northern ,hospitalization_Vancouver_Coastal,hospitalization_Out_of_Canada,hospitalization_Total
2020-03-23,36,5,4,0,38,,83
2020-03-24,45,6,4,1,40,,96
2020-03-25,55,6,5,1,40,,107
2020-03-26,56,8,5,1,40,,110
2020-03-27,65,8,8,2,40,,123
2020-03-28,,,,,,,
2020-03-29,,,,,,,
2020-03-30,80,12,9,4,70,,175
2020-03-31,94,15,9,5,81,,204
2020-04-01,104,17,11,5,88,,225
2020-04-02,112,18,11,5,98,,244
2020-04-03,121,20,14,6,102,,263
2020-04-04,,,,,,,
2020-04-05,,,,,,,
2020-04-06,135,22,18,6,109,,290
2020-04-07,136,22,18,6,116,,298
2020-04-08,142,22,20,6,119,,309
2020-04-09,146,22,21,7,121,,317
2020-04-10,,,,,,,
2020-04-11,,,,,,,
2020-04-12,,,,,,,
2020-04-13,,,,,,,
2020-04-14,170,24,23,7,125,,349
2020-04-15,174,26,23,8,128,,359
2020-04-16,177,27,22,8,128,,362
2020-04-17,181,27,23,8,129,,368
2020-04-18,,,,,,,
2020-04-19,,,,,,,
2020-04-20,190,27,22,9,132,,380
2020-04-21,192,28,23,9,136,,388
2020-04-22,196,28,23,9,140,,396
2020-04-23,201,28,22,10,141,,402
2020-04-24,203,28,22,10,144,,407
2020-04-25,,,,,,,
2020-04-26,,,,,,,
2020-04-27,215,29,24,11,148,,427
2020-04-28,217,29,24,11,148,,429
2020-04-29,217,29,24,11,151,,432
2020-04-30,218,29,24,11,152,,434
2020-05-01,218,29,25,11,152,,435
2020-05-02,,,,,,,
2020-05-03,,,,,,,
2020-05-04,224,29,25,12,166,,456
2020-05-05,225,29,25,12,166,,457
2020-05-06,229,29,25,12,167,,462
2020-05-07,230,29,25,12,168,,464
2020-05-08,233,29,25,12,168,,467
2020-05-09,,,,,,,
2020-05-10,,,,,,,
2020-05-11,235,29,25,12,169,,470
2020-05-12,239,29,25,12,169,,474
2020-05-13,239,29,25,12,169,,474
2020-05-14,239,29,25,12,170,,475
2020-05-15,239,29,25,12,170,,475
2020-05-16,,,,,,,
2020-05-17,,,,,,,
2020-05-18,,,,,,,
2020-05-19,248,29,25,12,172,,486
2020-05-20,248,29,25,12,172,,486
2020-05-21,248,29,25,12,172,,486
2020-05-22,250,29,25,12,172,,488
2020-05-23,,,,,,,
2020-05-24,,,,,,,
2020-05-25,251,29,25,12,172,,489
2020-05-26,251,29,25,12,172,,489
2020-05-27,252,29,25,12,172,,490
2020-05-28,252,29,25,12,172,,490
2020-05-29,253,29,25,12,172,,491
2020-05-30,,,,,,,
2020-05-31,,,,,,,
2020-06-01,254,29,25,13,172,,493
2020-06-02,256,29,25,13,174,,497
2020-06-03,257,29,25,13,174,,498
2020-06-04,257,29,25,13,175,,499
2020-06-05,255,29,25,13,174,,496
2020-06-06,,,,,,,
2020-06-07,,,,,,,
2020-06-08,256,29,25,13,174,,497
2020-06-09,255,29,25,14,174,,497
2020-06-10,255,29,25,14,174,,497
2020-06-11,257,29,25,14,174,,499
2020-06-12,,,,,,,
2020-06-13,,,,,,,
2020-06-14,,,,,,,
2020-06-15,259,30,25,14,174,,502
2020-06-16,,,,,,,
2020-06-17,,,,,,,
2020-06-18,265,30,25,14,175,,509
2020-06-19,,,,,,,
2020-06-20,,,,,,,
2020-06-21,,,,,,,
2020-06-22,269,30,25,14,177,,515
2020-06-23,,,,,,,
2020-06-24,,,,,,,
2020-06-25,273,30,25,14,179,,521
2020-06-26,,,,,,,
2020-06-27,,,,,,,
2020-06-28,,,,,,,
2020-06-29,273,30,25,14,182,,524
2020-06-30,,,,,,,
2020-07-01,,,,,,,
2020-07-02,273,30,25,14,182,,524
2020-07-03,,,,,,,
2020-07-04,,,,,,,
2020-07-05,,,,,,,
2020-07-06,273,30,25,14,184,,526
2020-07-07,,,,,,,
2020-07-08,,,,,,,
2020-07-09,272,30,25,14,184,3,528
2020-07-10,,,,,,,
2020-07-11,,,,,,,
2020-07-12,,,,,,,
2020-07-13,,,,,,,
2020-07-14,,,,,,,
2020-07-15,,,,,,,
2020-07-16,276,30,25,14,184,3,532
2020-07-17,,,,,,,
2020-07-18,,,,,,,
2020-07-19,,,,,,,
2020-07-20,,,,,,,
2020-07-21,,,,,,,
2020-07-22,,,,,,,
2020-07-23,279,32,25,14,185,4,539
2020-07-24,,,,,,,
2020-07-25,,,,,,,
2020-07-26,,,,,,,
2020-07-27,,,,,,,
2020-07-28,,,,,,,
2020-07-29,,,,,,,
2020-07-30,282,32,25,14,185,4,542
2020-07-31,,,,,,,
2020-08-01,,,,,,,
2020-08-02,,,,,,,
2020-08-03,,,,,,,
2020-08-04,,,,,,,
2020-08-05,,,,,,,
2020-08-06,289,32,25,14,186,4,550
2020-08-07,,,,,,,
2020-08-08,,,,,,,
2020-08-09,,,,,,,
2020-08-10,,,,,,,
2020-08-11,,,,,,,
2020-08-12,,,,,,,
2020-08-13,288,33,25,14,187,5,552
2020-08-14,,,,,,,
2020-08-15,,,,,,,
2020-08-16,,,,,,,
2020-08-17,,,,,,,
2020-08-18,,,,,,,
2020-08-19,,,,,,,
2020-08-20,302,33,25,14,188,5,567
2020-08-21,,,,,,,
2020-08-22,,,,,,,
2020-08-23,,,,,,,
2020-08-24,,,,,,,
2020-08-25,,,,,,,
2020-08-26,,,,,,,
2020-08-27,318,34,25,15,191,5,588
2020-08-28,,,,,,,
2020-08-29,,,,,,,
2020-08-30,,,,,,,
2020-08-31,,,,,,,
2020-09-01,,,,,,,
2020-09-02,,,,,,,